Year,MinTemp,MaxTemp,AvgTemp
1917,-25,37.8,10.547245179063365
1918,-21.1,40,11.825205479452052
1919,-18.3,37.2,12.125824175824178
1920,-18.9,34.4,11.286475409836074
1921,-15.6,35.6,12.751095890410959
1922,-18.9,34.4,12.001369863013698
1923,-13.9,37.2,11.665753424657524
1924,-15,37.2,11.08784153005464
1925,-18.9,37.2,11.937637362637368
1926,-15,37.8,10.772865013774107
1927,-18.3,33.3,11.932465753424664
1928,-13.9,34.4,11.961157024793385
1929,-13.3,37.2,12.328082191780814
1930,-13.9,38.9,12.53301369863014
1931,-11.7,37.2,13.26561643835617
1932,-11.7,35.6,12.900961538461535
1933,-21.1,38.9,12.447099447513821
1934,-26.1,38.3,11.733150684931507
1935,-18.3,35,11.739041095890402
1936,-19.4,41.1,11.940027322404374
1937,-10,37.8,12.546428571428576
1938,-14.4,35.6,12.938356164383551
1939,-14.4,35.6,12.62821917808219
1940,-13.9,36.7,11.04616438356164
1941,-12.2,36.7,12.78082191780821
1942,-20,36.1,12.310714285714294
1943,-22.2,37.2,12.117671232876717
1944,-11.1,38.9,12.637534246575356
1945,-16.7,36.1,12.307808219178066
1946,-15,34.4,13.040273972602742
1947,-13.9,35,12.159041095890403
1948,-17.8,39.4,12.316986301369864
1949,-8.3,38.9,13.88131868131868
1950,-14.4,35,12.076373626373627
1951,-13.3,34.4,12.815479452054786
1952,-13.3,37.8,13.236202185792356
1953,-10,38.9,13.947796143250693
1954,-13.9,37.8,12.737671232876705
1955,-17.8,37.8,12.68255494505495
1956,-10,37.2,11.957240437158474
1957,-17.8,38.3,13.081318681318683
1958,-16.1,33.9,11.46863013698631
1959,-13.9,36.1,13.060273972602742
1960,-13.3,32.8,12.23196721311476
1961,-18.9,36.1,12.839589041095888
1962,-15.6,37.2,11.958630136986303
1963,-18.9,36.7,12.046575342465754
1964,-12.8,37.2,12.555191256830605
1965,-12.8,35,12.37712328767122
1966,-13.3,39.4,12.846849315068491
1967,-15.6,35.6,11.705753424657528
1968,-18.3,36.7,12.284836065573764
1969,-11.7,36.1,12.702191780821918
1970,-16.1,34.4,12.42027397260274
1971,-15.6,35.6,12.939726027397267
1972,-15,34.4,12.172540983606549
1973,-13.9,36.7,13.430821917808212
1974,-14.4,35,12.660684931506855
1975,-9.4,36.7,12.790684931506851
1976,-18.3,35.6,11.859699453551904
1977,-18.9,40,12.458356164383554
1978,-12.2,35,11.707123287671221
1979,-17.8,35,13.251780821917801
1980,-18.3,38.9,12.78374316939891
1981,-16.7,35.6,12.912876712328769
1982,-17.8,36.7,12.749178082191776
1983,-15.6,37.2,13.362191780821927
1984,-13.3,35.6,13.030327868852472
1985,-18.9,35,13.110821917808213
1986,-13.3,36.7,12.983287671232878
1987,-15.6,36.1,12.903287671232881
1988,-15,37.2,12.674316939890723
1989,-14.4,35.6,12.234657534246589
1990,-13.9,35,14.048219178082192
1991,-12.2,38.9,14.049178082191775
1992,-11.7,33.9,12.195081967213117
1993,-13.9,38.9,13.1131506849315
1994,-18.9,36.7,12.952602739726041
1995,-14.4,38.9,13.01150684931507
1996,-15,35.6,12.081420765027325
1997,-15.6,36.1,12.414246575342458
1998,-10,33.9,14.0149315068493
1999,-12.8,38.3,13.639589041095885
2000,-16.1,33.9,12.131420765027318
2001,-8.9,39.4,13.498493150684943
2002,-7.2,36.7,13.599999999999998
2003,-13.9,34.4,11.953150684931495
2004,-17.2,32.8,12.515846994535524
2005,-15,37.2,13.219863013698642
2006,-9.4,36.1,13.841506849315062
2007,-13.3,33.3,12.878493150684925
2008,-12.2,35.6,12.991803278688527
2009,-14.4,33.3,12.273972602739729
2010,-10.6,39.4,13.783698630136989
2011,-14.4,40,13.620684931506842
2012,-10.6,37.8,14.093579234972683
2013,-11.7,36.7,13.033150684931497
2014,-15.5,33.3,12.514657534246563
2015,-16.6,36.1,13.809726027397259
2016,-18.2,35.6,14.016803278688531
2017,-9.9,34.4,14.783536585365862
